id,symbol,name,market_cap_rank,market_cap,vol_24h,ret_7d,rs_7d_vs_btc,ret_30d,rs_30d_vs_btc,ret_90d,rs_90d_vs_btc,momentum_score
ethereum-classic,etc,Ethereum Classic,61,1800535751,25680817.0,-0.09965913686013228,-0.03687371594693578,-0.013698170048519476,-0.03586451535410706,-0.31154589473717165,-0.0901077475334019,-0.37582469654167927
near,near,NEAR Protocol,58,1939281343,61737846.0,-0.13882924425007837,-0.07604382333688187,0.04961467917614404,0.02744833387055645,-0.3648845877054375,-0.14344644050166777,-0.3993521824543441
chainlink,link,Chainlink,22,8659663283,178054042.0,-0.11240808736739871,-0.04962266645420221,0.008342069315581568,-0.013824275990006019,-0.3488621054173707,-0.12742395821360097,-0.41330758059919953
bittensor,tao,Bittensor,53,2286250348,41349429.0,-0.12947757901629975,-0.06669215810310325,0.08642001276755074,0.06425366746196315,-0.4089064159838457,-0.18746826878007594,-0.4386455250898659
stellar,xlm,Stellar,25,6893222657,66345132.0,-0.08427929109150867,-0.02149387017831217,0.009574557351407886,-0.0125917879541797,-0.3653679275771391,-0.14392978037336934,-0.44662379098781546
uniswap,uni,Uniswap,47,3085735443,94571041.0,-0.09526788604526959,-0.03248246513207309,-0.15518161465747127,-0.17734795996305885,-0.2765409172108937,-0.055102770007123936,-0.47304413328348466
litecoin,ltc,Litecoin,32,5219288297,199303347.0,-0.08924217614241614,-0.02645675522921964,-0.09993016149044842,-0.12209650679603601,-0.3179318875252989,-0.09649374032152913,-0.48125639590938146
sui,sui,Sui,31,5624003724,239668431.0,-0.1690857837626173,-0.10630036284942079,0.08691959363584423,0.06475324833025664,-0.44928280055533765,-0.2278446533515679,-0.5050726724206912
dogecoin,doge,Dogecoin,10,20948494449,359976203.0,-0.09859649242845858,-0.03581107151526208,0.002736591568976765,-0.019429753736610822,-0.40372922841153036,-0.1822910812077606,-0.5142233727430384
hedera-hashgraph,hbar,Hedera,36,4645134301,60440749.0,-0.08692113452969186,-0.024135713616495358,-0.005284374145821724,-0.02745071945140931,-0.40267126931417285,-0.1812331221104031,-0.5330253798568122
crypto-com-chain,cro,Cronos,44,3672948535,13120305.0,-0.09420547597318829,-0.03142005505999179,0.0025224866070086005,-0.019643858698578986,-0.40669367696957914,-0.1852555297658094,-0.5331834977413027
okb,okb,OKB,55,2168403416,12983570.0,-0.0983681384413081,-0.035582717528111596,-0.03726623913581584,-0.059432584441403424,-0.39857213798689606,-0.1771339907831263,-0.564450506353513
avalanche-2,avax,Avalanche,33,5213237651,122989130.0,-0.1266126600247276,-0.0638272391115311,-0.0037443276763720057,-0.025910672981959593,-0.42226810008283033,-0.20082995287906058,-0.5650435765928433
cardano,ada,Cardano,12,13197078372,193708916.0,-0.09948472021727461,-0.036699299304078115,0.04365071349486671,0.021484368189279124,-0.4780844198115973,-0.2566462726078276,-0.6103322131804525
hyperliquid,hype,Hyperliquid,30,5622209873,122069519.0,-0.08561158169499128,-0.02282616078179478,-0.05051304493619113,-0.07267939024177872,-0.5152914104842279,-0.29385326328045813,-0.7912720388478521
mantle,mnt,Mantle,48,2948517297,36885072.0,-0.040831666545446565,0.021953754367749934,-0.11193383152406788,-0.13410017682965547,-0.4889244751429198,-0.26748632793915006,-0.8172365319073923
ondo-finance,ondo,Ondo,64,1673861058,34790527.0,-0.11602029358881982,-0.053234872675623324,-0.07902580478158083,-0.10119215008716842,-0.5602434708529613,-0.3388053236491916,-0.9107814399399047
