id,symbol,name,market_cap_rank,market_cap,total_volume,current_price,circulating_supply,total_supply,max_supply,price_change_percentage_24h,last_updated,reject_reasons,is_rejected
btse-token,btse,BTSE Token,237,255359371,11984436.0,1.58,162061501.0,200000000.0,200000000.0,0.9535,2026-01-24T22:24:59.086Z,,False
zksync,zk,ZKsync,239,251732995,12302721.0,0.02864446,8788754285.0407,21000000000.0,21000000000.0,-1.0651,2026-01-24T22:24:59.638Z,,False
zero-gravity,0g,0G,244,241606730,90946278.0,1.12,213199722.0,1000000000.0,,9.125,2026-01-24T22:24:59.654Z,,False
wrapped-aave-ethereum-usdc,waethusdc,Wrapped Aave Ethereum USDC,246,234333445,11807582.0,1.14,204879993.826247,204879993.826247,,-0.86725,2026-01-24T22:24:59.650Z,,False
arweave,ar,Arweave,250,230028442,10906649.0,3.51,65454185.5381511,65454185.5381511,66000000.0,-0.09776,2026-01-24T22:24:59.372Z,,False
ape-and-pepe,apepe,Ape and Pepe,251,227722479,18008274.0,1.08e-06,210000000000000.0,210000000000000.0,210000000000000.0,-0.26823,2026-01-24T22:24:16.887Z,,False
ultima,ultima,Ultima,259,222540137,11452265.0,5893.33,37772.135734,100000.0,100000.0,-3.1296,2026-01-24T22:24:16.561Z,,False
agora-dollar,ausd,AUSD,266,216333624,30711515.0,0.999457,216456853.0,216456853.0,,-0.01472,2026-01-24T22:24:23.434Z,,False
convex-finance,cvx,Convex Finance,274,207698578,11892134.0,2.26,91731429.29656334,99947072.24062636,100000000.0,8.1703,2026-01-24T22:24:16.683Z,,False
immutable-x,imx,Immutable,275,207264562,12002635.0,0.249813,829422157.1198142,2000000000.0,2000000000.0,0.11063,2026-01-24T22:24:16.695Z,,False
kite-2,kite,Kite,277,206974532,19593297.0,0.115048,1800000000.0,10000000000.0,10000000000.0,-2.82648,2026-01-24T22:24:16.608Z,,False
falcon-finance-ff,ff,Falcon Finance,278,205618045,113127814.0,0.087865,2340000000.0,10000000000.0,10000000000.0,0.64973,2026-01-24T22:24:16.836Z,,False
monad,mon,Monad,279,205277339,83226290.0,0.01895348,10830583396.0,100000000000.0,100000000000.0,3.26844,2026-01-24T22:24:16.898Z,,False
thorchain,rune,THORChain,282,203740798,23635973.0,0.580361,350996918.0,424967015.0,500000000.0,-0.74314,2026-01-24T22:24:16.914Z,,False
wrapped-hype,whype,Wrapped HYPE,285,201978416,45650731.0,23.58,8561216.772045357,8561216.772045357,,4.89468,2026-01-24T22:24:18.048Z,,False
